,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
707,молдавский,12.87,4.8,20.7,56.5,11.6,5.4,4.7,17.4
708,монгольский,161.65,52.7,304.5,179.4,107.3,121.2,114.8,74.8
709,монолингв,5.09,0.0,1.5,1.5,2.6,3.6,5.9,4.7
710,монолог,82.44,64.6,46.9,87.8,102.6,70.8,50.2,21.2
711,монологический,35.54,2.4,6.7,41.5,49.3,31.4,20.8,4.7
712,монофтонг,6.25,1.2,4.6,3.7,4.8,5.6,4.7,2.4
713,мордовский,55.38,16.8,24.0,47.5,58.6,47.1,40.2,20.2
714,морф,1127.91,235.8,615.5,1085.9,1003.3,939.2,825.0,965.7
715,морфема,140.63,56.2,112.4,172.5,138.6,94.7,110.9,231.3
716,морфемика,5.91,0.0,0.0,5.1,5.9,5.6,4.0,0.0
717,морфемный,50.45,3.6,12.1,49.2,48.5,46.5,33.0,24.0
718,морфологический,382.06,104.1,256.5,394.0,352.9,330.6,253.7,209.2
719,морфология,288.91,39.5,155.9,239.8,239.2,261.3,202.4,136.8
720,морфонологический,18.97,1.2,4.1,21.0,19.2,13.8,15.3,35.7
721,морфонология,17.01,0.0,0.8,31.0,14.4,12.5,12.5,18.8
722,мурманский,2.54,1.2,0.7,1.8,1.1,1.2,3.5,2.4
723,мягкость,11.75,50.3,13.4,12.2,10.2,8.6,8.2,14.6
724,надстрочный,4.05,14.4,3.3,3.2,2.6,2.4,4.3,0.5
725,назализация,2.03,0.0,1.5,2.7,1.7,1.1,1.9,4.7
726,назальный,1.97,0.0,2.3,1.9,1.6,1.8,1.1,4.7
727,наклонение,133.72,44.3,205.9,167.7,95.6,88.7,109.1,70.1
728,наречение,4.62,0.0,5.7,4.3,4.4,3.3,3.5,7.5
729,наречие,366.35,227.4,301.9,331.8,345.2,293.9,270.9,230.9
730,наречный,25.56,10.8,13.7,24.3,21.4,22.8,17.3,16.0
731,нарративный,36.69,0.0,2.6,1.6,20.0,29.8,40.7,18.3
732,нарратор,2.05,0.0,0.0,0.0,0.0,1.3,2.9,5.2
733,нахский,0.21,0.0,0.0,0.0,0.3,0.1,0.3,0.0
734,невербальный,105.62,0.0,3.1,9.4,44.9,95.9,105.6,80.4
735,невозвратный,3.46,4.8,1.6,1.8,2.1,2.8,3.0,7.1
736,невопросительный,1.65,0.0,0.5,0.9,0.9,1.3,1.6,1.9
737,негация,0.86,0.0,0.0,0.2,0.3,0.4,1.4,0.0
738,негласный,0.74,1.2,0.0,0.4,0.6,0.5,0.8,0.9
739,неграмотность,2.0,13.2,7.4,5.3,1.4,0.7,1.1,0.9
740,неграмотный,2.92,18.0,8.3,5.2,2.6,1.2,2.1,2.4
741,нейролингвистика,3.62,0.0,0.0,1.0,3.6,3.3,3.0,2.4
743,нейропсихологический,1.96,0.0,0.0,0.3,1.3,1.2,2.5,3.8
744,нейрофизиологический,2.2,0.0,0.0,0.5,2.2,2.1,1.7,2.4
745,нейрофизиология,1.62,0.0,0.0,0.5,1.6,1.4,1.3,6.6
746,нейтрализация,25.92,15.6,15.4,29.7,25.2,24.2,14.1,17.4
747,нейтральный,94.58,149.6,64.9,86.1,71.3,77.2,70.8,95.0
748,нелабиализованный,1.56,0.0,4.2,2.3,0.7,0.7,1.6,0.5
749,немаркированный,18.49,1.2,4.4,12.4,22.8,13.6,16.5,8.9
750,неметафорический,2.09,3.6,1.0,1.6,1.4,1.6,1.7,5.2
751,немецкий,907.35,327.9,181.5,701.7,658.6,830.5,684.7,542.6
752,немецкоязычный,28.01,0.0,0.0,1.8,7.4,17.1,39.9,19.7
753,ненормативный,18.43,6.0,5.7,7.2,18.0,16.7,14.2,13.6
754,ненормированный,1.52,10.8,0.8,1.7,0.9,1.3,1.0,0.5
755,неологизм,107.11,69.4,64.5,62.7,70.3,97.2,79.0,140.6
757,непредикативный,5.69,1.2,1.6,4.3,5.6,5.8,3.2,1.9
758,непредметный,3.69,0.0,0.7,2.1,4.0,3.6,2.4,1.4
759,непродуктивность,1.74,3.6,0.8,1.6,0.9,1.6,1.2,0.5
760,непродуктивный,11.32,18.0,18.3,8.8,12.3,8.4,7.8,8.0
761,нереферентный,0.56,0.0,0.0,0.3,0.1,0.4,0.7,0.9
762,несклоняемый,6.66,6.0,8.5,3.8,5.2,4.2,6.7,2.8
763,несловарный,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0
764,неспрягаемый,1.43,1.2,1.6,3.0,1.2,0.7,1.1,2.4
765,нетерминологический,3.68,3.6,2.9,5.3,2.7,3.4,2.0,0.9
766,нефинитный,0.19,0.0,0.0,0.0,0.3,0.1,0.1,1.9
767,нефлективность,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.0
768,неформальный,16.13,0.0,0.0,0.9,7.3,14.3,15.5,37.1
769,неэтимологический,0.95,0.0,0.2,0.1,0.7,0.3,1.5,2.8
770,нивхский,5.56,2.4,3.1,7.0,2.0,4.0,5.2,3.8
771,нидерландский,9.88,9.6,1.3,1.7,6.3,6.9,11.3,14.1
772,новогреческий,12.18,9.6,1.3,5.5,6.9,7.6,15.3,2.8
773,новозеландский,3.18,0.0,0.0,0.0,1.2,0.5,6.3,0.5
774,новороссийский,0.68,2.4,1.8,1.1,0.6,0.4,0.4,0.9
775,новосибирский,13.87,12.0,4.7,9.9,9.9,10.1,13.5,9.9
776,номинализация,5.98,0.0,0.8,3.9,4.3,3.5,6.7,16.9
777,номинативный,219.87,26.3,48.2,146.8,211.0,212.8,144.8,131.7
778,номинация,484.96,8.4,20.6,311.5,404.2,468.6,349.8,252.0
779,норвежский,10.16,3.6,4.7,8.9,4.5,8.7,7.2,38.6
780,нормандский,1.18,0.0,0.2,0.1,0.4,1.0,1.3,0.9
781,носовой,10.27,41.9,19.4,12.0,6.6,5.2,9.6,10.8
782,обозначение,291.66,284.8,228.9,238.0,246.4,242.4,213.0,275.1
783,оборот,256.51,493.1,355.5,289.4,232.0,189.4,173.5,258.6
784,обособление,15.09,12.0,18.6,28.1,12.4,12.0,8.1,2.8
785,обособленность,3.21,6.0,4.6,3.7,2.9,2.4,2.0,2.8
786,обособленный,26.81,26.3,40.8,42.1,25.4,20.9,14.4,13.6
787,обращение,581.69,135.2,143.9,172.5,221.6,263.5,830.0,1640.5
788,обрусение,0.64,1.2,0.7,0.5,0.8,0.2,0.8,1.4
789,обстоятельный,6.53,10.8,21.4,13.0,6.7,3.4,3.4,3.8
790,обстоятельственный,44.53,8.4,23.7,55.1,47.4,38.6,27.2,16.5
791,обстоятельство,150.14,114.9,160.4,177.4,172.0,106.5,107.7,103.4
792,обсценный,3.31,0.0,0.0,0.0,3.4,2.9,3.0,4.2
793,общеиндоевропейский,3.17,1.2,1.5,2.6,3.7,2.7,2.2,0.9
794,общелингвистический,11.87,2.4,5.4,14.0,10.2,11.1,7.0,5.6
795,общеразговорный,0.79,1.2,1.6,0.7,0.7,0.8,0.3,0.0
796,общеупотребительный,41.78,40.7,33.8,47.0,28.9,36.4,27.9,15.5
797,огласовка,7.86,4.8,22.4,11.3,5.8,3.8,6.2,13.6
798,оглушение,3.91,2.4,10.5,3.9,2.5,2.9,2.5,4.2
799,оговорка,154.12,137.6,163.9,97.5,121.2,113.0,135.9,120.8
800,огубленный,2.85,1.2,4.4,1.0,3.9,1.7,2.3,10.3
801,огузский,1.59,0.0,11.1,4.7,0.9,0.5,0.4,0.0
804,одноморфемный,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,одушевление,2.49,3.6,2.8,2.1,2.5,2.0,1.6,4.2
806,озвончение,3.91,3.6,13.4,4.8,1.6,1.2,4.3,1.9
807,озвучивание,3.14,0.0,0.0,0.4,2.3,2.2,3.4,10.3
808,означаемое,4.68,0.0,1.6,5.0,5.4,3.4,3.7,7.5
809,означающее,0.79,0.0,1.0,0.6,0.7,0.6,0.5,4.2
810,оканье,7.39,26.3,18.1,7.7,4.9,4.2,6.2,4.7
811,окказионализм,36.15,23.9,10.0,20.6,33.3,33.6,26.5,11.8
812,окказиональный,111.88,28.7,17.6,75.4,86.2,111.9,76.1,25.9
813,окончание,88.71,406.9,150.0,92.3,74.0,51.1,74.1,92.2
814,оксюморон,9.65,1.2,3.9,6.0,12.6,7.2,8.3,2.8
815,олицетворение,19.97,14.4,18.3,10.3,45.3,16.2,9.6,19.3
816,омограф,7.84,0.0,3.4,8.5,14.6,6.5,4.2,2.4
817,омоним,200.68,82.6,196.1,208.6,143.8,183.5,123.0,87.5
818,омонимичный,24.5,16.8,19.8,21.6,15.7,22.0,17.1,12.2
819,омонимия,95.39,26.3,49.8,99.1,62.9,89.8,62.4,29.2
820,омофон,4.73,6.0,5.7,2.3,4.0,2.9,4.9,2.8
821,омофония,0.81,1.2,0.5,0.5,0.7,0.8,0.5,1.4
822,омоформа,2.54,2.4,4.4,0.8,2.2,1.4,2.8,0.9
823,онимизации,7.13,0.0,1.1,3.7,6.7,6.2,5.5,14.1
824,онимический,361.07,111.3,169.1,336.1,345.2,326.1,233.6,259.1
825,ономастика,183.24,12.0,51.1,75.9,138.8,160.2,156.1,196.5
826,ономастический,91.18,2.4,11.3,22.8,46.0,75.9,90.4,155.2
827,ономатопея,3.22,0.0,1.1,0.7,2.8,1.8,4.2,1.4
828,ономатопоэтический,1.53,0.0,1.1,0.8,0.9,0.9,1.9,0.0
829,онтолингвистика,0.26,0.0,0.0,0.0,0.0,0.2,0.4,0.0
830,оптатив,17.86,0.0,8.7,10.8,14.0,14.7,15.6,8.0
831,оптативный,7.55,0.0,2.6,7.4,8.6,6.4,5.3,0.5
832,орографический,1.28,3.6,1.1,1.9,3.0,0.9,0.4,1.9
833,оронимический,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834,орфограмма,3.5,13.2,2.8,0.9,2.1,2.9,2.9,5.2
835,орфографический,83.31,293.2,83.8,50.4,64.6,58.6,71.5,129.8
836,орфография,107.52,302.8,143.8,75.7,79.5,73.6,90.6,165.5
837,орфоэпический,18.83,29.9,20.7,21.5,20.5,14.1,12.6,13.6
838,орфоэпия,11.23,46.7,23.7,11.0,10.4,9.1,5.9,1.9
839,осетинский,46.14,16.8,25.0,33.4,9.2,39.0,42.9,32.9
840,основосложение,1.63,0.0,0.5,1.5,1.1,1.8,0.9,0.0
841,отрицание,183.26,47.9,66.8,173.4,179.4,117.7,178.3,176.8
842,оценочность,20.81,0.0,0.3,9.5,18.4,20.3,15.5,9.4
843,оценочный,332.68,38.3,37.3,184.2,283.2,310.1,257.8,132.6
844,падеж,509.13,658.2,764.9,579.7,450.9,321.3,423.5,260.5
845,падежный,132.6,38.3,125.5,136.4,117.0,94.8,110.6,65.4
846,палатализация,7.96,0.0,7.7,4.8,6.6,4.5,8.9,6.1
847,палатализованный,4.95,0.0,7.7,2.9,2.9,1.8,6.8,2.4
848,палатальность,0.91,0.0,0.8,1.6,0.4,0.5,0.9,0.5
849,палатальный,7.16,1.2,8.2,6.4,8.4,2.9,8.3,5.6
850,парадигма,524.96,20.3,125.1,290.3,459.7,472.9,410.4,376.6
851,парадигматически,104.97,0.0,27.6,117.0,121.6,95.7,61.1,71.0
853,параллелизм,36.32,28.7,42.2,31.7,44.2,26.5,26.9,18.8
854,парафраз,7.2,0.0,0.8,3.3,4.0,7.7,4.2,20.2
855,паремиологический,1.62,0.0,0.0,0.0,0.7,1.2,2.0,2.4
856,паремический,0.31,0.0,0.0,0.0,0.1,0.2,0.4,0.0
857,паремия,77.91,0.0,1.5,6.2,33.5,50.2,90.7,380.4
859,пароним,34.2,18.0,6.0,27.4,21.9,34.5,22.6,11.3
860,паронимический,7.41,2.4,0.8,3.8,4.5,7.3,5.6,4.2
861,паронимия,9.01,1.2,0.5,8.7,5.3,9.0,6.1,2.8
862,парономазия,1.97,0.0,0.3,1.1,2.4,1.9,1.3,0.5
863,партитивный,7.61,0.0,2.1,2.7,3.1,5.5,8.9,1.4
864,парцелляция,22.96,0.0,10.5,23.7,16.9,21.9,14.6,6.6
865,пассив,116.24,33.5,61.1,138.4,72.7,84.7,102.6,79.9
866,пассивизация,2.86,0.0,0.2,1.5,3.4,2.4,2.2,5.2
867,пассивный,70.05,23.9,43.5,91.8,43.8,51.2,59.4,39.0
868,патетика,1.09,9.6,4.7,1.6,0.9,0.6,0.4,0.0
869,патетический,2.2,10.8,8.2,4.4,1.4,1.4,0.9,0.0
870,пациенс,13.24,0.0,2.0,5.3,7.5,9.7,14.3,20.7
871,пейоративный,12.02,0.0,0.0,1.8,7.5,11.0,11.4,5.2
872,пензенский,7.21,25.1,15.5,7.3,7.0,4.0,6.0,3.8
873,перевод,1642.44,557.7,710.2,901.9,896.5,1439.0,1367.2,2304.4
874,переводной,26.18,31.1,12.7,20.6,18.5,21.3,21.1,37.6
875,переводный,44.94,25.1,19.4,36.5,32.9,37.6,35.5,53.1
876,переводоведение,11.08,0.0,0.2,0.4,0.8,10.3,11.4,18.8
877,переводческий,97.72,1.2,15.5,32.8,34.3,95.6,82.4,110.5
878,переводчик,150.84,51.5,77.0,82.8,84.3,132.8,121.7,238.4
879,переднеязычный,7.38,1.2,8.3,10.7,5.9,5.2,5.5,5.6
880,переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7
881,переходность,47.41,0.0,23.7,45.9,30.6,49.7,26.0,10.8
882,переходный,109.4,33.5,99.5,89.4,75.1,80.3,97.3,90.7
883,периферийный,73.06,12.0,17.0,35.2,66.2,69.1,51.2,103.4
884,периферия,94.09,6.0,9.3,32.8,69.1,96.0,67.7,75.2
885,пермяцкий,17.77,1.2,2.5,1.2,31.0,10.9,19.2,7.5
886,персидский,87.27,22.7,217.0,140.7,55.5,44.2,72.4,74.8
887,перфект,255.43,9.6,53.8,89.9,107.9,116.4,374.3,380.4
888,перфектив,87.19,2.4,8.8,10.4,20.9,24.8,153.7,182.0
889,перфективный,36.79,0.0,4.9,5.9,7.4,10.2,66.1,50.8
890,перфектный,27.56,0.0,2.6,22.2,22.0,15.8,32.5,19.7
891,перцептивный,4.19,1.2,0.2,0.2,1.4,3.5,4.8,1.9
892,пиджин,10.46,1.2,0.0,1.7,1.9,11.1,9.0,3.8
893,пиктограмма,0.78,0.0,0.3,0.0,0.3,0.9,0.5,0.5
894,письменность,183.46,179.5,336.6,220.9,174.1,125.6,128.7,89.3
895,плеоназм,5.41,4.8,4.7,8.7,3.0,3.4,4.9,1.4
896,плеонастический,2.45,3.6,1.6,4.7,1.1,1.4,2.3,0.9
897,плюсквамперфект,27.36,0.0,4.6,10.1,9.7,18.3,31.9,68.6
898,повествовательный,67.76,20.3,30.2,58.8,75.8,61.9,43.1,10.8
899,поговорка,138.87,113.7,146.2,87.0,110.1,101.8,122.9,104.4
900,поговорочный,4.36,0.0,2.6,0.5,3.0,4.5,3.0,4.2
901,подговор,4.52,0.0,6.4,9.1,1.2,3.1,3.4,1.4
902,подкорпус,8.96,0.0,0.0,0.0,0.0,2.0,15.5,61.6
903,подлежащее,128.44,117.3,128.6,145.7,117.2,93.9,96.0,121.8
904,подтекст,38.95,38.3,11.1,22.0,49.0,33.2,28.0,42.3
905,подтекстовый,4.56,0.0,0.7,1.6,4.5,3.6,4.2,8.5
906,подчинение,36.75,7.2,51.3,33.6,38.5,31.5,21.6,18.3
907,подчинительный,36.32,23.9,35.5,30.1,40.5,34.1,19.5,11.3
908,позднеантичный,0.73,0.0,0.0,0.2,0.3,0.7,0.7,0.0
909,полилексемный,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.0
910,полилингвизм,2.55,0.0,0.2,0.1,0.4,2.1,2.9,2.8
911,полилог,11.12,0.0,0.2,0.7,21.6,8.4,9.7,2.4
912,полипредикативность,1.83,0.0,0.0,0.5,4.2,1.8,0.8,1.4
913,полисемия,93.1,12.0,18.6,81.5,72.0,80.5,70.2,134.5
914,полисинтетический,1.96,0.0,1.8,0.7,0.9,1.0,1.2,35.3
915,полногласие,4.44,9.6,5.2,2.0,5.5,4.4,2.1,0.9
916,полупредикативный,0.23,0.0,0.2,0.6,0.2,0.2,0.1,0.0
917,полупредикативность,0.44,0.0,0.5,0.6,0.2,0.2,0.5,0.0
918,помета,22.85,61.0,40.2,31.9,19.6,15.8,14.5,20.2
919,порождение,98.03,4.8,5.7,37.3,90.3,96.6,71.7,49.4
920,португальский,13.0,10.8,2.8,17.0,17.5,8.3,9.7,37.6
921,посессив,65.44,0.0,35.5,41.4,35.0,44.4,68.6,110.0
922,посессивность,3.3,0.0,0.0,1.4,2.2,2.0,3.8,10.8
923,посессивный,42.72,0.0,33.2,27.2,23.2,27.3,45.8,68.6
924,посессор,19.68,0.0,0.0,1.7,4.6,14.1,21.8,98.7
925,послелог,72.46,0.0,105.2,94.0,49.0,48.3,60.9,16.5
926,послеложный,0.08,0.0,0.0,0.0,0.0,0.1,0.1,0.0
927,послесловие,7.62,1.2,3.6,5.8,7.1,6.0,6.4,5.2
928,пословица,262.94,185.5,227.1,126.7,178.5,209.7,230.6,253.0
929,пословичный,21.87,9.6,7.7,5.2,13.4,19.4,19.7,17.4
930,постфикс,7.22,0.0,11.1,2.0,11.2,5.3,5.5,2.4
931,прагерманский,1.31,2.4,0.2,0.0,0.5,0.3,2.5,0.5
932,прагмалингвистика,2.97,0.0,0.0,1.2,1.7,2.4,3.1,0.9
933,прагматика,237.09,0.0,0.5,49.5,248.3,249.5,157.3,112.4
934,прагматический,598.88,0.0,2.0,162.8,506.9,598.0,454.4,358.7
935,прагматичность,1.56,0.0,0.0,0.3,2.2,1.5,1.1,0.0
936,праиндоевропейский,0.46,0.0,0.0,0.1,0.3,0.2,0.7,0.0
937,праформа,0.97,1.2,1.5,1.1,1.5,0.3,1.1,0.0
938,праязык,20.07,4.8,39.0,25.5,15.5,13.6,13.9,30.6
939,праязыковой,5.12,0.0,9.1,4.2,3.9,3.2,3.8,25.4
940,преверб,21.72,0.0,1.3,7.9,23.9,9.9,26.8,81.3
941,предикат,588.61,46.7,194.4,549.0,694.3,490.8,411.8,484.3
942,предикатив,264.43,40.7,129.2,304.5,337.1,215.3,172.6,108.1
943,предикативность,38.62,3.6,29.9,49.0,55.3,30.9,22.5,9.4
944,предикативный,154.68,35.9,84.5,204.1,200.8,127.2,92.5,45.6
945,предикатный,43.44,0.0,16.0,50.2,55.4,40.0,23.2,18.3
946,предикация,53.23,0.0,10.0,41.5,47.0,45.3,42.7,37.1
947,предлог,238.78,276.5,136.3,220.4,146.3,187.7,203.5,155.6
948,предложение,2092.43,1013.7,1634.0,2607.7,2564.9,1808.5,1135.5,683.6
949,предложный,99.87,95.7,40.0,142.1,76.8,78.0,74.9,40.4
950,презенс,27.0,1.2,2.1,18.1,23.0,13.9,30.4,112.4
951,прескриптивный,0.52,0.0,0.0,0.0,0.6,0.3,0.6,0.9
952,пресуппозиция,49.92,0.0,1.8,49.0,56.6,49.7,27.3,21.2
953,префикс,127.15,18.0,27.4,114.1,111.9,97.7,109.3,141.5
954,префиксальный,36.25,3.6,6.2,34.5,35.7,30.8,27.2,18.3
955,префиксоид,3.07,0.0,0.0,1.6,0.9,3.1,2.4,2.8
956,привативный,4.78,0.0,4.1,6.8,6.4,3.4,3.2,0.9
957,придаточный,143.44,35.9,210.4,186.3,141.4,116.0,82.6,55.0
958,придыхательный,3.24,7.2,3.4,1.5,2.5,2.1,3.4,0.0
959,призвук,1.4,1.2,2.9,1.3,0.7,0.7,1.2,7.5
960,прилагательное,326.85,330.3,321.9,376.3,329.0,254.8,221.7,179.1
961,прилагательный,303.25,283.6,251.3,353.6,304.5,251.1,194.5,115.2
962,приставка,92.98,185.5,82.2,62.6,88.8,61.4,84.2,130.7
963,приставочный,37.75,27.5,16.7,22.5,37.3,25.8,35.3,72.4
964,притяжательность,0.52,0.0,0.0,0.4,0.9,0.4,0.4,0.9
965,притяжательный,46.2,7.2,69.6,49.1,50.6,27.5,39.6,29.6
966,причастный,88.8,59.8,108.6,128.5,82.3,60.6,63.0,98.7
967,прогрессив,25.99,26.3,40.7,32.1,13.9,14.4,25.3,20.7
968,проза,365.67,262.1,178.9,315.3,308.0,336.6,247.0,98.7
969,прозаизм,0.62,3.6,1.8,0.5,1.2,0.3,0.4,0.0
970,прозаический,57.46,26.3,35.5,53.7,48.5,54.3,35.6,13.2
971,проклитика,1.51,0.0,0.3,0.9,1.0,0.8,2.0,0.0
972,прономинализация,2.22,0.0,0.8,2.7,1.1,1.7,1.6,9.9
973,прономинативный,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,пропозиция,66.74,0.0,0.7,26.8,80.6,62.8,48.3,33.9
975,просодика,4.47,0.0,0.8,5.1,5.5,3.2,3.7,0.5
976,просодический,109.11,3.6,6.9,81.2,107.5,98.6,80.1,77.1
977,просодия,41.15,2.4,2.6,34.5,40.5,39.1,26.1,48.0
978,просторечие,65.8,129.3,52.8,36.9,76.0,68.8,29.6,21.6
979,просторечный,53.08,146.0,83.8,50.9,54.6,47.8,24.8,20.2
980,протограф,4.54,0.0,0.3,1.3,2.0,3.0,5.9,0.0
981,прототип,106.36,9.6,23.4,15.4,87.6,100.4,86.4,115.2
982,прототипический,3.15,0.0,0.0,0.0,2.2,3.3,2.5,1.9
983,профессионализм,18.68,18.0,7.7,8.8,9.1,16.3,16.9,5.6
984,психолингвист,481.21,14.4,4.6,74.9,266.0,423.6,481.4,283.5
985,психолингвистика,250.66,9.6,2.0,30.2,111.5,192.1,295.1,148.6
986,психолингвистический,210.6,0.0,2.3,42.5,143.0,213.3,168.0,103.9
987,письменность,183.46,179.5,336.6,220.9,174.1,125.6,128.7,89.3
988,пунктуационный,25.91,22.7,19.0,11.8,22.8,24.0,18.6,3.3
989,пунктуация,65.83,114.9,42.5,44.1,70.2,64.9,36.0,15.5
990,разговорный,438.97,860.5,403.4,504.4,456.5,388.7,231.3,260.9
991,разметка,21.75,0.0,0.5,0.5,0.9,18.1,24.8,46.1
992,раннебалканский,0.21,0.0,0.0,0.3,0.3,0.1,0.2,0.0
993,раннехристианский,1.63,0.0,0.2,0.2,0.6,1.5,1.6,0.9
994,регионализм,7.24,0.0,0.3,2.7,9.3,7.4,4.2,8.5
995,редукция,29.73,6.0,33.3,32.9,21.1,20.2,24.8,48.9
996,редупликация,28.39,0.0,2.3,15.1,9.2,15.8,38.1,39.0
997,редуцированный,21.64,76.6,13.9,14.6,12.3,13.6,22.5,26.8
998,результатив,57.91,2.4,14.7,31.5,44.7,43.8,57.0,47.0
999,реконструкция,114.94,12.0,59.8,66.9,104.2,94.5,95.8,81.3
1000,релятивизация,4.79,0.0,0.0,0.3,0.5,2.5,7.0,17.4
1001,релятивизм,1.12,0.0,0.0,0.1,0.6,0.7,1.4,2.4
1002,реляционный,18.83,1.2,2.5,18.9,16.9,16.3,13.7,16.9
1003,рема,98.58,83.8,51.8,91.1,98.8,87.2,63.3,81.3
1004,рематический,1.57,0.0,0.0,1.1,3.4,1.4,0.8,0.5
1005,референт,114.22,2.4,6.9,62.1,103.6,93.7,100.7,134.9
1006,референтность,6.14,0.0,0.0,4.9,5.2,4.2,6.3,6.6
1007,референтный,29.14,0.0,0.3,20.1,26.7,24.7,24.1,31.5
1008,референциальный,49.05,0.0,0.7,14.3,34.8,41.6,48.2,23.0
1009,референция,78.47,0.0,0.2,37.5,82.4,68.4,64.2,65.8
1010,реферирование,5.89,3.6,2.3,6.4,4.4,6.0,3.2,0.9
1011,рефлексивизация,0.14,0.0,0.0,0.0,0.7,0.0,0.1,0.0
1012,рефлексивный,23.74,0.0,3.1,5.5,14.9,20.8,22.5,20.7
1013,рефлексия,47.98,3.6,1.3,2.6,36.0,45.4,42.7,27.7
1014,реципиент,79.86,0.0,0.2,8.6,44.3,79.4,68.9,56.0
1015,реципрок,5.69,0.0,0.0,2.3,8.3,4.1,5.3,4.2
1016,речевой,1836.78,627.1,255.5,640.6,1441.7,1797.8,1411.1,715.6
1017,речевосприятие,0.07,0.0,0.0,0.0,0.1,0.1,0.0,0.0
1018,речеобразование,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1019,речеповеденческий,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1020,речепорождение,0.31,0.0,0.0,0.1,0.0,0.2,0.4,0.0
1021,речепроизводство,0.56,0.0,0.0,0.0,0.1,0.4,0.7,0.5
1022,речь,3301.38,4447.3,2194.7,2725.1,3274.6,2900.9,2174.1,1842.6
1023,риторика,155.34,85.0,13.4,33.2,134.3,159.1,112.0,72.9
1024,рифма,43.32,118.5,117.5,46.6,29.5,35.0,22.2,8.0
1025,рифмовка,3.12,3.6,8.7,4.8,1.6,2.1,1.9,3.8
1026,родительный,56.93,290.8,114.9,94.7,52.5,31.2,39.2,33.4
1027,родовой,46.74,43.1,51.8,53.0,47.3,36.3,30.2,55.5
1028,романистика,8.31,0.0,0.5,3.9,3.2,5.4,10.4,7.5
1029,румынский,20.48,15.6,19.9,7.4,9.1,15.6,19.4,39.5
1030,русизм,11.79,6.0,13.6,9.2,7.3,9.1,10.2,1.9
1031,русистика,75.99,8.4,8.5,21.4,59.5,77.9,55.3,36.2
1032,русификация,2.31,6.0,1.6,1.6,2.2,1.5,2.2,2.4
1033,русский,10265.3,6674.5,5095.8,7085.4,8691.4,9428.7,7230.3,5153.2
1034,русскоязычный,80.6,0.0,0.0,5.2,31.4,59.9,97.3,99.2
1035,рязанский,26.17,25.1,26.1,25.0,33.1,15.7,23.4,10.8
1036,саамский,16.9,2.4,8.2,3.1,14.5,8.4,22.7,15.0
1037,санскрит,12.84,8.4,15.7,10.2,8.3,9.3,11.4,7.1
1038,санскритский,3.65,3.6,6.5,2.8,2.8,2.6,3.0,1.4
1039,сапиентема,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1040,сарказм,5.69,7.2,5.7,3.5,2.3,4.4,5.0,10.3
1041,саркастический,1.97,4.8,2.5,0.8,1.3,1.2,1.9,5.2
1042,сатирический,21.22,99.3,47.5,35.8,16.6,15.3,10.5,3.3
1043,сверхкраткий,0.84,2.4,1.5,0.5,0.3,0.4,1.0,1.4
1044,североамериканский,1.98,1.2,0.5,0.5,1.1,1.1,2.7,1.9
1045,северокавказский,7.02,0.0,3.9,6.2,11.1,4.8,5.6,2.8
1046,сегмент,118.38,10.8,16.0,93.1,79.3,115.4,82.1,95.0
1047,сегментация,16.61,0.0,3.6,12.3,18.9,16.4,9.8,7.1
1048,сегментирование,0.98,0.0,0.0,1.0,1.4,0.9,0.6,0.0
1049,сельджукский,1.37,0.0,16.7,3.7,0.3,0.1,0.1,0.0
1050,сема,6184.14,391.3,1013.0,4620.2,5698.5,5910.8,4166.8,3634.5
1051,семантема,5.29,0.0,0.7,3.8,3.2,2.9,6.7,4.7
1052,семантизация,6.21,0.0,1.1,5.5,7.5,5.3,4.5,0.5
1053,семантика,1989.47,81.4,213.5,1076.1,1779.8,1971.0,1371.8,1056.0
1054,семантический,3085.42,232.2,567.4,2654.5,2950.5,2951.0,1983.2,1465.1
1055,семасиология,44.91,8.4,12.1,56.2,46.0,44.7,22.0,12.7
1056,семашический,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057,семема,23.08,0.0,5.2,28.6,23.1,21.7,13.3,6.1
1058,семиология,8.0,0.0,0.0,2.7,5.2,7.9,6.6,2.4
1059,семиотика,195.79,0.0,3.8,34.4,133.6,185.0,174.6,76.6
1060,семиотический,127.75,0.0,2.3,29.9,88.0,116.2,116.6,81.3
1061,сенсорный,15.78,0.0,0.0,3.9,7.6,15.1,13.3,30.6
1062,сентенциальный,18.68,0.0,0.0,2.7,6.8,9.2,26.8,58.8
1063,сентенция,5.94,1.2,1.8,2.1,3.3,6.6,3.7,4.7
1064,сербохорватский,10.03,4.8,1.0,28.6,9.4,5.1,7.7,9.9
