,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
124,аспирация,1.24,1.2,4.2,1.2,0.3,0.7,1.2,0.0,0.6512,77.33,45.0
125,ассертивный,0.82,0.0,0.0,0.2,0.4,0.5,1.0,1.4,0.6745,77.59,40.0
126,ассерция,6.1,0.0,0.0,0.9,2.4,3.7,8.4,4.2,0.5544,85.95,78.0
127,ассимилятивный,4.86,0.0,5.2,3.7,3.3,3.7,4.1,5.6,0.474,85.91,98.0
128,ассимиляционный,0.85,0.0,0.3,0.0,0.3,0.9,0.7,1.4,0.6215,83.05,46.0
129,ассимиляция,35.51,6.0,36.3,28.8,21.0,29.7,27.1,35.7,0.2222,94.8,123.0
130,ассонанс,4.28,4.8,8.7,3.6,3.1,4.0,2.1,1.9,0.3901,89.39,103.0
131,астраханский,10.92,4.8,15.5,18.9,4.1,5.2,11.2,8.9,0.3842,84.69,117.0
132,атематический,43.3,15.6,23.2,37.2,45.0,38.4,28.6,24.4,0.192,95.19,123.0
133,аудиальный,0.32,0.0,0.0,0.0,0.0,0.1,0.6,0.5,0.8295,74.56,20.0
134,аудитивный,0.89,0.0,0.0,0.8,0.9,0.7,0.8,0.0,0.5785,86.14,52.0
135,афазия,5.48,0.0,0.7,1.1,3.3,3.1,7.6,1.9,0.5452,77.03,89.0
136,аферезис,0.51,0.0,0.2,0.9,0.6,0.6,0.1,0.5,0.7335,74.69,32.0
137,афоризм,51.92,76.6,21.6,10.5,33.1,50.0,41.8,15.5,0.3679,89.94,123.0
138,афористический,8.21,6.0,5.6,1.8,4.7,6.9,7.9,0.9,0.4677,83.64,112.0
139,афразийский,1.81,0.0,0.0,0.2,1.5,2.0,1.3,0.0,0.6417,79.49,52.0
140,аффективный,13.05,0.0,1.5,6.4,8.5,10.9,12.5,5.2,0.3383,91.08,118.0
141,аффикс,279.03,31.1,1133.7,582.6,181.1,147.2,146.0,146.7,0.3628,89.86,123.0
142,аффиксальный,31.31,3.6,39.7,41.5,25.3,24.1,21.6,9.9,0.3059,92.35,123.0
143,аффиксация,16.05,6.0,7.2,15.5,12.0,15.9,9.6,4.2,0.3235,92.49,121.0
144,аффриката,15.32,2.4,30.2,12.1,11.2,9.2,14.4,9.4,0.4477,86.07,104.0
145,аффрикатизации,0.89,0.0,1.3,2.1,0.9,0.3,0.8,0.5,0.7655,65.14,28.0
146,ацтекский,0.71,0.0,0.0,0.0,0.2,0.6,0.8,0.9,0.7495,77.79,30.0
147,баварский,1.44,2.4,1.3,0.9,1.5,0.7,1.7,1.4,0.5778,72.92,60.0
148,балтийский,45.27,25.1,32.3,29.7,64.6,24.1,46.5,41.4,0.3929,90.7,123.0
149,банту,3.79,0.0,0.7,1.0,1.9,4.2,2.5,1.9,0.5838,81.52,70.0
150,башкирский,197.15,15.6,326.8,257.5,103.0,126.6,166.3,205.9,0.4283,89.99,123.0
151,безграмотность,1.52,19.1,3.1,1.2,2.6,0.8,1.0,0.5,0.4906,87.21,70.0
152,безударный,36.45,79.0,61.9,43.0,28.9,23.1,27.1,69.6,0.3261,92.25,123.0
153,белгородский,7.32,0.0,3.1,3.8,4.4,4.4,8.6,11.3,0.3416,90.1,117.0
154,белорусский,58.04,69.4,94.8,114.2,50.8,33.1,41.5,34.8,0.3541,90.25,123.0
155,бельгийский,1.79,1.2,4.1,0.8,0.5,1.3,1.6,1.4,0.5695,78.26,62.0
156,берестяной,16.38,44.3,15.8,7.0,12.8,10.7,15.0,49.4,0.4884,86.56,105.0
157,бесписьменный,6.38,13.2,10.9,8.3,6.5,4.0,4.7,2.8,0.42100000000000004,90.07,104.0
158,беспредложный,11.46,14.4,6.7,16.7,11.5,8.2,8.6,2.8,0.4366,85.3,116.0
159,бесприставочный,9.97,9.6,3.6,2.6,9.2,6.3,10.8,22.1,0.5148,84.33,100.0
160,бессоюзие,3.54,1.2,3.9,1.6,2.4,4.4,1.2,0.0,0.5291,83.51,86.0
161,билингв,94.07,0.0,11.1,33.0,48.6,73.1,102.3,51.2,0.3878,89.77,123.0
162,билингвизм,45.73,0.0,5.6,17.8,26.2,34.9,49.2,30.6,0.39299999999999996,89.32,123.0
163,бирманский,1.56,0.0,1.1,2.0,0.5,0.9,1.7,0.5,0.5745,83.48,61.0
164,бифонемный,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.9735,29.58,2.0
165,бихевиоризм,0.85,0.0,0.0,0.0,1.1,0.5,0.9,2.8,0.6295,80.41,45.0
