термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
порождение,98.03,4.8,5.7,37.3,90.3,96.6,71.7,49.4,0.2165,94.97,123.0
эмотивный,97.85,0.0,0.8,18.6,89.6,98.4,74.3,38.6,0.324,92.44,119.0
переводческий,97.72,1.2,15.5,32.8,34.3,95.6,82.4,110.5,0.4231,89.4,123.0
омонимия,95.39,26.3,49.8,99.1,62.9,89.8,62.4,29.2,0.2463,93.77,123.0
временной,95.06,28.7,33.0,63.1,77.7,74.0,86.4,68.2,0.1526,96.43,123.0
деривационный,94.95,0.0,9.5,61.6,95.7,90.8,65.8,34.3,0.2709,93.57,123.0
деепричастие,94.85,51.5,128.7,128.4,62.9,63.4,75.5,101.6,0.4208,89.99,121.0
нейтральный,94.58,149.6,64.9,86.1,71.3,77.2,70.8,95.0,0.14,96.61,123.0
дательный,94.24,141.2,185.1,114.5,73.9,62.9,68.8,54.5,0.2315,94.52,123.0
диахронический,94.17,2.4,19.8,52.5,76.2,74.8,87.0,92.6,0.1796,95.51,123.0
периферия,94.09,6.0,9.3,32.8,69.1,96.0,67.7,75.2,0.1941,95.45,123.0
билингв,94.07,0.0,11.1,33.0,48.6,73.1,102.3,51.2,0.3878,89.77,123.0
кавказский,93.76,25.1,63.2,67.7,111.9,74.6,71.9,31.0,0.4855,86.57,123.0
полисемия,93.1,12.0,18.6,81.5,72.0,80.5,70.2,134.5,0.2209,94.76,123.0
приставка,92.98,185.5,82.2,62.6,88.8,61.4,84.2,130.7,0.3335,91.54,123.0
употребительный,92.96,217.8,131.2,113.7,77.9,71.8,58.9,57.8,0.1412,96.65,123.0
дефиниция,92.62,2.4,4.4,52.4,61.5,82.4,80.9,47.5,0.2033,95.21,123.0
арийский,92.07,3.6,47.4,45.9,68.2,60.0,102.4,53.6,0.5778,84.43,119.0
украинский,92.05,185.5,131.4,194.8,63.3,55.9,63.2,63.0,0.2976,91.45,123.0
ядерный,92.01,12.0,22.4,50.0,60.8,85.6,71.7,98.7,0.2075,95.13,123.0
ономастический,91.18,2.4,11.3,22.8,46.0,75.9,90.4,155.2,0.2938,93.31,123.0
воронежский,90.4,33.5,12.1,33.7,64.3,79.7,81.3,45.1,0.2454,94.01,123.0
даргинский,89.97,2.4,2.8,12.4,31.9,72.9,104.4,2.4,0.6949,80.81,97.0
